id,user_prompt,expected_sql,generated_sql,syntax_score,semantic_score,codebert_match,flane5_match,true_label,n_gram_score,bleu_score,rouge_score,unknown_tokens
test_001,"Select all users from the database","SELECT * FROM users","SELECT * FROM users",1.0,0.98,true,true,"correct",0.95,0.98,0.97,"[]"
test_002,"Find all active users","SELECT * FROM users WHERE active = 1","SELECT * FROM users WHERE status = 'active'",0.85,0.72,false,true,"incorrect",0.65,0.70,0.68,"['status']"
test_003,"Get user count","SELECT COUNT(*) FROM users","SELECT COUNT(*) FROM users",1.0,1.0,true,true,"correct",1.0,1.0,1.0,"[]"
test_004,"List users by name","SELECT * FROM users ORDER BY name","SELECT * FROM users ORDER BY username",0.9,0.88,true,false,"partially_correct",0.82,0.85,0.86,"['username']"
test_005,"Find users over 18","SELECT * FROM users WHERE age > 18","SELECT * FROM users WHERE age >= 18",0.95,0.92,true,true,"correct",0.88,0.90,0.91,"[]"
test_006,"Get user emails","SELECT email FROM users","SELECT user_email FROM users",0.8,0.65,false,false,"incorrect",0.55,0.62,0.58,"['user_email']"
test_007,"Find inactive users","SELECT * FROM users WHERE active = 0","SELECT * FROM users WHERE active = false",0.88,0.85,true,false,"partially_correct",0.75,0.78,0.82,"['false']"
test_008,"Users with specific role","SELECT * FROM users WHERE role = 'admin'","SELECT * FROM users WHERE user_role = 'admin'",0.92,0.78,false,true,"incorrect",0.68,0.72,0.75,"['user_role']"
test_009,"Recent user registrations","SELECT * FROM users WHERE created_at > '2023-01-01'","SELECT * FROM users WHERE registration_date > '2023-01-01'",0.87,0.73,false,false,"incorrect",0.63,0.67,0.69,"['registration_date']"
test_010,"Users from specific city","SELECT * FROM users WHERE city = 'New York'","SELECT * FROM users WHERE location = 'New York'",0.91,0.83,true,false,"partially_correct",0.76,0.79,0.81,"['location']"
test_011,"Count active users","SELECT COUNT(*) FROM users WHERE active = 1","SELECT COUNT(*) FROM users WHERE status = 'active'",0.89,0.81,false,true,"incorrect",0.72,0.75,0.78,"['status']"
test_012,"Users with verified emails","SELECT * FROM users WHERE email_verified = true","SELECT * FROM users WHERE email_confirmed = 1",0.86,0.77,false,false,"incorrect",0.64,0.68,0.71,"['email_confirmed']"
test_013,"Top 10 users by score","SELECT * FROM users ORDER BY score DESC LIMIT 10","SELECT TOP 10 * FROM users ORDER BY score DESC",0.82,0.74,false,false,"incorrect",0.61,0.65,0.67,"['TOP']"
test_014,"Users without profile picture","SELECT * FROM users WHERE profile_pic IS NULL","SELECT * FROM users WHERE avatar IS NULL",0.93,0.87,true,false,"partially_correct",0.79,0.82,0.84,"['avatar']"
test_015,"Update user status","UPDATE users SET active = 1 WHERE id = 123","UPDATE users SET status = 'active' WHERE user_id = 123",0.84,0.69,false,false,"incorrect",0.58,0.62,0.65,"['status','user_id']"
test_016,"Delete inactive users","DELETE FROM users WHERE active = 0","DELETE FROM users WHERE active = false",0.88,0.85,true,false,"partially_correct",0.77,0.80,0.82,"['false']"
test_017,"Join users with orders","SELECT u.*, o.* FROM users u JOIN orders o ON u.id = o.user_id","SELECT u.*, o.* FROM users u INNER JOIN orders o ON u.user_id = o.customer_id",0.91,0.76,false,true,"incorrect",0.67,0.71,0.73,"['customer_id']"
test_018,"Users with no orders","SELECT * FROM users WHERE id NOT IN (SELECT user_id FROM orders)","SELECT * FROM users u LEFT JOIN orders o ON u.id = o.user_id WHERE o.user_id IS NULL",0.75,0.82,true,true,"correct",0.78,0.81,0.83,"[]"
test_019,"Average user age","SELECT AVG(age) FROM users","SELECT AVG(user_age) FROM users",0.94,0.71,false,false,"incorrect",0.59,0.63,0.66,"['user_age']"
test_020,"Users grouped by city","SELECT city, COUNT(*) FROM users GROUP BY city","SELECT location, COUNT(*) FROM users GROUP BY location",0.89,0.81,false,true,"incorrect",0.73,0.76,0.78,"['location']"